k,explained_variance_ratio,cumulative_explained_variance
1,0.055432934,0.055432934
2,0.04901276,0.104445696
3,0.039337516,0.14378321
4,0.030086525,0.17386973
5,0.026086323,0.19995606
6,0.023220656,0.22317672
7,0.021444999,0.24462172
8,0.018935101,0.26355684
9,0.016483262,0.2800401
10,0.015636502,0.2956766
11,0.014903482,0.31058007
12,0.013598897,0.32417896
13,0.012883073,0.33706203
14,0.012636672,0.3496987
15,0.0119239325,0.36162263
16,0.011559812,0.37318245
17,0.011313204,0.38449565
18,0.0105994465,0.39509508
19,0.010041302,0.40513638
20,0.009438261,0.41457462
21,0.009225465,0.42380008
22,0.008897159,0.43269724
23,0.0087439865,0.44144124
24,0.008557521,0.44999877
25,0.008358908,0.45835766
26,0.00822321,0.46658087
27,0.007867187,0.47444806
28,0.00763765,0.4820857
29,0.0073059397,0.48939165
30,0.0070866025,0.49647826
31,0.006952472,0.5034307
32,0.0068485015,0.51027924
33,0.006451633,0.51673084
34,0.006395375,0.52312624
35,0.0063163233,0.52944255
36,0.006002231,0.5354448
37,0.005833645,0.5412784
38,0.005641372,0.5469198
39,0.0055613993,0.55248123
40,0.0054973317,0.5579786
41,0.005355566,0.5633341
42,0.005350449,0.5686846
43,0.00528129,0.57396585
44,0.005059348,0.5790252
45,0.0049135294,0.5839387
46,0.0048910044,0.5888297
47,0.0047964095,0.5936261
48,0.0046933745,0.5983195
49,0.004614035,0.6029335
50,0.0045141573,0.6074477
51,0.0044276416,0.6118753
52,0.0043484704,0.61622375
53,0.0042868475,0.6205106
54,0.0041906703,0.62470126
55,0.0040623127,0.62876356
56,0.0039385576,0.6327021
57,0.0039090496,0.63661116
58,0.003872058,0.6404832
59,0.0037767123,0.6442599
60,0.003751975,0.6480119
61,0.0037115528,0.6517235
62,0.003636761,0.6553603
63,0.0035835393,0.65894383
64,0.0035057599,0.6624496
65,0.0034758546,0.66592544
66,0.0034176449,0.6693431
67,0.0033930843,0.6727362
68,0.0033468215,0.676083
69,0.0033213992,0.67940444
70,0.0032282395,0.6826327
71,0.0031942246,0.6858269
72,0.0031301996,0.6889571
73,0.0030688653,0.69202596
74,0.0030201098,0.69504607
75,0.0029686599,0.69801474
76,0.0029448995,0.7009596
77,0.0028828827,0.7038425
78,0.0028361958,0.7066787
79,0.002830695,0.7095094
80,0.0028141714,0.71232355
81,0.0027817322,0.7151053
82,0.0027703391,0.71787566
83,0.0026627628,0.72053844
84,0.0026397211,0.72317815
85,0.002614884,0.725793
86,0.0026046045,0.7283976
87,0.0025821652,0.7309798
88,0.0025214632,0.73350126
89,0.0024932886,0.7359945
90,0.0024373229,0.7384318
91,0.0024234946,0.7408553
