affect,k,real,shuffle,lift
حسرت,5,0.8627107215104518,0.35414699932569116,2.436024371667936
حسرت,10,0.8610923803101821,0.35158462575859745,2.4491752972765632
حسرت,20,0.8567093728927849,0.3512137559002023,2.4392819429778245
حسرت,50,0.8484828051247472,0.3477815239379636,2.4397006359547078
شوق,5,0.7920063948840927,0.29544364508393284,2.680735930735931
شوق,10,0.7860911270983213,0.29096722621902477,2.701648351648352
شوق,20,0.7723421262989608,0.29404476418864905,2.626614109011826
شوق,50,0.7519584332533973,0.294484412470024,2.553474484256243
امید,5,0.674468085106383,0.17154255319148937,3.931782945736434
امید,10,0.6577127659574468,0.17632978723404255,3.730015082956259
امید,20,0.6449468085106383,0.175,3.6854103343465052
امید,50,0.6194414893617022,0.17843085106382978,3.471605306304964
اندوه,5,0.6937416777629827,0.1773635153129161,3.9114114114114114
اندوه,10,0.6828229027962717,0.16977363515312915,4.021960784313726
اندوه,20,0.6679760319573902,0.16944074567243675,3.9422396856581536
اندوه,50,0.6512117177097204,0.17003994673768308,3.829757243539546
بی‌قراری,5,0.6297397769516728,0.12788104089219332,4.924418604651162
بی‌قراری,10,0.6180297397769516,0.12936802973977696,4.777298850574712
بی‌قراری,20,0.608550185873606,0.12481412639405204,4.875651526433359
بی‌قراری,50,0.5818587360594796,0.12282527881040892,4.737288135593221
آرامش,5,0.632,0.10177777777777777,6.209606986899564
آرامش,10,0.6077777777777778,0.10422222222222222,5.8315565031982945
آرامش,20,0.6001111111111112,0.10344444444444445,5.801288936627283
آرامش,50,0.5722666666666667,0.10524444444444445,5.4375
حیرت,5,0.6366834170854271,0.11758793969849246,5.414529914529914
حیرت,10,0.6203517587939699,0.11507537688442211,5.390829694323144
حیرت,20,0.6028894472361809,0.1099246231155779,5.484571428571428
حیرت,50,0.5633165829145729,0.10748743718592965,5.240766713417485
ناامیدی,5,0.384070796460177,0.033628318584070796,11.421052631578947
ناامیدی,10,0.3831858407079646,0.03008849557522124,12.735294117647058
ناامیدی,20,0.37831858407079644,0.031415929203539826,12.042253521126758
ناامیدی,50,0.33469026548672565,0.030619469026548673,10.930635838150287
