poem_id,beyt_id,cluster_hdb
1,1,-1
1,2,-1
1,3,-1
1,4,-1
1,5,-1
1,6,5
1,7,-1
2,1,-1
2,2,-1
2,3,-1
2,4,-1
2,5,-1
2,6,-1
2,7,-1
2,8,-1
3,1,-1
3,2,-1
3,3,-1
3,4,-1
3,5,-1
3,6,-1
3,7,-1
3,8,-1
3,9,-1
4,1,5
4,2,5
4,3,5
4,4,5
4,5,5
4,6,5
4,7,5
4,8,-1
5,1,-1
5,2,5
5,3,5
5,4,-1
5,5,5
5,6,5
5,7,-1
5,8,-1
5,9,-1
5,10,-1
5,11,-1
5,12,-1
5,13,5
6,1,-1
6,2,-1
6,3,-1
6,4,-1
6,5,-1
6,6,-1
6,7,-1
7,1,-1
7,2,5
7,3,-1
7,4,5
7,5,5
7,6,5
7,7,5
7,8,-1
8,1,-1
8,2,-1
8,3,2
8,4,-1
8,5,-1
8,6,-1
8,7,-1
8,8,-1
8,9,5
9,1,-1
9,2,-1
9,3,5
9,4,5
9,5,-1
9,6,-1
9,7,-1
9,8,5
9,9,-1
9,10,-1
10,1,-1
10,2,-1
10,3,-1
10,4,5
10,5,5
10,6,5
10,7,-1
11,1,-1
11,2,-1
11,3,-1
11,4,5
11,5,-1
11,6,-1
11,7,-1
11,8,-1
11,9,-1
11,10,-1
12,1,5
12,2,5
12,3,-1
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,-1
12,10,5
12,11,5
12,12,5
12,13,5
13,1,5
13,2,-1
13,3,-1
13,4,-1
13,5,-1
13,6,-1
13,7,-1
13,8,5
14,1,-1
14,2,-1
14,3,6
14,4,6
14,5,6
14,6,6
14,7,-1
14,8,6
15,1,5
15,2,-1
15,3,-1
15,4,5
15,5,-1
15,6,5
15,7,-1
15,8,5
15,9,-1
15,10,-1
16,1,5
16,2,5
16,3,5
16,4,-1
16,5,-1
16,6,-1
16,7,-1
16,8,5
16,9,5
16,10,5
16,11,5
17,1,6
17,2,6
17,3,6
17,4,6
17,5,-1
17,6,6
17,7,5
17,8,-1
18,1,-1
18,2,-1
18,3,-1
18,4,-1
18,5,-1
18,6,-1
18,7,-1
19,1,-1
19,2,5
19,3,5
19,4,5
19,5,-1
19,6,5
19,7,5
19,8,-1
19,9,5
20,1,-1
20,2,-1
20,3,-1
20,4,-1
20,5,-1
20,6,-1
20,7,-1
20,8,-1
21,1,-1
21,2,-1
21,3,-1
21,4,-1
21,5,-1
21,6,-1
21,7,-1
22,1,-1
22,2,-1
22,3,-1
22,4,-1
22,5,-1
22,6,-1
22,7,-1
22,8,-1
22,9,-1
22,10,-1
23,1,5
23,2,5
23,3,5
23,4,5
23,5,-1
23,6,5
23,7,-1
24,1,-1
24,2,5
24,3,-1
24,4,-1
24,5,5
24,6,5
24,7,5
25,1,-1
25,2,-1
25,3,-1
25,4,5
25,5,-1
25,6,-1
25,7,-1
25,8,-1
25,9,5
26,1,-1
26,2,-1
26,3,-1
26,4,5
26,5,5
26,6,5
26,7,-1
27,1,-1
27,2,5
27,3,5
27,4,5
27,5,5
27,6,-1
28,1,-1
28,2,5
28,3,-1
28,4,-1
28,5,5
28,6,-1
28,7,5
28,8,-1
29,1,-1
29,2,-1
29,3,-1
29,4,5
29,5,-1
29,6,-1
29,7,5
29,8,-1
29,9,-1
30,1,-1
30,2,-1
30,3,-1
30,4,-1
30,5,-1
30,6,-1
30,7,-1
31,1,-1
31,2,-1
31,3,5
31,4,-1
31,5,5
31,6,5
31,7,-1
31,8,5
31,9,-1
32,1,4
32,2,4
32,3,4
32,4,4
