poem_id,beyt_id,subcluster
1,6,-1
4,1,1
4,2,1
4,3,1
4,4,-1
4,5,1
4,6,1
4,7,1
5,2,-1
5,3,-1
5,5,-1
5,6,-1
5,13,-1
7,2,4
7,4,-1
7,5,-1
7,6,-1
7,7,4
8,9,-1
9,3,-1
9,4,-1
9,8,-1
10,4,2
10,5,3
10,6,-1
11,4,-1
12,1,-1
12,2,-1
12,4,-1
12,5,-1
12,6,-1
12,7,-1
12,8,-1
12,10,-1
12,11,-1
12,12,-1
12,13,-1
13,1,-1
13,8,-1
15,1,-1
15,4,-1
15,6,6
15,8,-1
16,1,-1
16,2,-1
16,3,-1
16,8,-1
16,9,-1
16,10,-1
16,11,-1
17,7,-1
19,2,4
19,3,-1
19,4,4
19,6,-1
19,7,3
19,9,-1
23,1,-1
23,2,3
23,3,3
23,4,6
23,6,3
24,2,-1
24,5,-1
24,6,-1
24,7,-1
25,4,-1
25,9,-1
26,4,-1
26,5,-1
26,6,-1
27,2,-1
27,3,-1
27,4,-1
27,5,1
28,2,-1
28,5,-1
28,7,-1
29,4,-1
29,7,-1
31,3,-1
31,5,3
31,6,-1
31,8,-1
34,1,3
34,2,-1
34,5,-1
34,6,-1
34,7,-1
34,8,-1
35,6,-1
36,1,2
36,2,-1
36,3,2
36,4,2
36,5,2
36,6,3
36,7,2
36,9,2
37,1,-1
37,2,-1
37,3,-1
37,4,-1
37,5,-1
37,6,-1
37,7,-1
37,8,-1
37,9,-1
37,10,-1
38,1,-1
38,2,-1
38,3,-1
38,7,-1
40,1,-1
40,3,-1
40,4,-1
40,5,-1
40,6,3
40,7,3
40,8,3
40,9,4
41,2,-1
41,5,-1
41,7,-1
42,1,-1
42,3,-1
42,4,-1
42,5,-1
42,6,-1
45,1,-1
45,2,-1
45,5,-1
47,6,-1
48,5,-1
48,7,4
49,1,-1
49,2,-1
49,7,-1
49,8,-1
49,13,-1
50,1,2
50,7,-1
51,1,-1
51,3,-1
52,2,-1
52,8,3
53,3,-1
53,4,-1
53,6,-1
54,1,-1
54,2,-1
54,5,-1
54,7,-1
54,8,6
55,1,3
55,2,3
55,3,3
55,4,3
55,7,-1
56,1,3
56,2,-1
56,5,-1
56,6,3
56,7,-1
56,9,-1
56,10,-1
57,1,-1
57,2,3
57,3,-1
57,6,1
58,1,3
58,2,-1
58,5,3
58,6,3
58,8,3
59,1,-1
59,2,-1
59,4,-1
59,6,-1
59,7,-1
60,1,-1
60,2,-1
60,7,-1
61,1,-1
61,2,-1
61,4,6
61,6,-1
