k,explained_variance_ratio,cumulative_explained_variance
1,0.04822678,0.04822678
2,0.035695758,0.083922535
3,0.033903744,0.11782628
4,0.030259168,0.14808545
5,0.022716189,0.17080164
6,0.018666217,0.18946786
7,0.018412586,0.20788045
8,0.01688612,0.22476657
9,0.01604845,0.24081501
10,0.014712258,0.25552726
11,0.014539934,0.2700672
12,0.01421414,0.2842813
13,0.013507157,0.29778847
14,0.012502464,0.31029093
15,0.012192804,0.32248375
16,0.011356428,0.3338402
17,0.010937054,0.34477726
18,0.010727867,0.3555051
19,0.010557693,0.3660628
20,0.010021658,0.37608445
21,0.009904089,0.38598853
22,0.009239248,0.3952278
23,0.009106211,0.404334
24,0.0086402735,0.41297427
25,0.008326992,0.42130125
26,0.008243599,0.42954484
27,0.008128957,0.4376738
28,0.007856375,0.44553018
29,0.007804892,0.45333508
30,0.007500684,0.46083575
31,0.0073341737,0.46816993
32,0.007034883,0.47520483
33,0.0069269077,0.48213172
34,0.006732225,0.48886395
35,0.0064620096,0.49532595
36,0.0063124583,0.5016384
37,0.0062104315,0.50784886
38,0.0061141117,0.513963
39,0.0059697283,0.5199327
40,0.0057847966,0.5257175
41,0.0056460556,0.53136355
42,0.0055611134,0.53692466
43,0.0055164844,0.5424411
44,0.005408793,0.5478499
45,0.0052770767,0.553127
46,0.005181564,0.55830854
47,0.0050731488,0.5633817
48,0.0050162836,0.56839794
49,0.004921326,0.57331926
50,0.0047792466,0.5780985
51,0.004616832,0.58271533
52,0.0045652413,0.5872806
53,0.0045226845,0.59180325
54,0.0044972114,0.5963005
55,0.004393587,0.60069406
56,0.0042559095,0.60494995
57,0.0041981386,0.6091481
58,0.004137909,0.613286
59,0.004081295,0.6173673
60,0.0040179444,0.6213853
61,0.0039618416,0.62534714
62,0.0039199493,0.6292671
63,0.0038782784,0.6331454
64,0.0038189522,0.6369643
65,0.0037094702,0.6406738
66,0.0036545224,0.64432836
67,0.0036215645,0.64794993
68,0.003598005,0.65154797
69,0.003530337,0.6550783
70,0.003481611,0.6585599
71,0.0034295793,0.6619895
72,0.0033699225,0.66535944
73,0.0033165894,0.668676
74,0.003266959,0.67194295
75,0.0032402256,0.6751832
76,0.003190674,0.6783739
77,0.0031562326,0.6815301
78,0.0030657523,0.6845959
79,0.0030377577,0.68763363
80,0.0030225764,0.6906562
81,0.0029865971,0.6936428
82,0.002968485,0.6966113
83,0.0029093502,0.69952065
84,0.0028712002,0.70239186
85,0.0028294043,0.7052213
86,0.0027982888,0.70801955
87,0.0027757387,0.7107953
88,0.0027398837,0.7135352
89,0.0026771727,0.7162124
90,0.002657996,0.7188704
91,0.0026224954,0.7214929
92,0.0025781132,0.724071
93,0.0025520797,0.7266231
94,0.0025377509,0.72916085
95,0.0025157847,0.73167664
96,0.0024980945,0.7341747
97,0.002460931,0.7366357
98,0.0024201907,0.7390559
99,0.0023977417,0.7414536
100,0.0023586315,0.7438122
101,0.0023554228,0.7461676
102,0.0022984364,0.748466
103,0.0022795645,0.7507456
104,0.0022688438,0.75301445
105,0.0022284458,0.7552429
106,0.002211767,0.75745463
107,0.0021902134,0.75964487
108,0.0021788152,0.76182365
109,0.00213806,0.76396173
110,0.002133631,0.76609534
111,0.0020869921,0.76818234
112,0.0020610706,0.7702434
113,0.0020352185,0.7722786
114,0.002016627,0.7742952
115,0.001998093,0.7762933
116,0.0019656045,0.77825886
117,0.0019643356,0.7802232
118,0.0019456769,0.78216887
119,0.0019327168,0.7841016
120,0.0019191541,0.78602076
121,0.0018945915,0.78791535
122,0.0018888991,0.7898042
123,0.0018570048,0.7916612
124,0.0018405012,0.7935017
125,0.0018214921,0.7953232
126,0.0018130682,0.79713625
127,0.0017952867,0.79893154
128,0.0017675287,0.80069906
129,0.0017466105,0.80244565
130,0.001736637,0.8041823
131,0.0017304061,0.8059127
132,0.0017094862,0.80762213
133,0.0016795514,0.8093017
134,0.0016567842,0.81095845
135,0.0016545231,0.81261295
136,0.0016287214,0.81424165
137,0.0016191633,0.8158608
138,0.0016105176,0.8174713
139,0.0015854349,0.81905675
140,0.0015762536,0.820633
141,0.0015508796,0.82218385
142,0.0015465973,0.82373047
143,0.0015279579,0.82525843
144,0.0015131439,0.82677156
145,0.0014919367,0.8282635
146,0.001463214,0.82972676
147,0.0014595928,0.83118635
148,0.0014403713,0.8326267
149,0.0014278032,0.8340545
150,0.001424253,0.8354788
151,0.0014164324,0.8368952
152,0.0013888911,0.83828413
153,0.0013800219,0.83966416
154,0.001364576,0.84102875
155,0.0013420248,0.84237075
156,0.0013414555,0.8437122
157,0.0013306605,0.8450429
158,0.001313328,0.8463562
159,0.0013111095,0.84766734
160,0.0012896091,0.84895694
161,0.0012718787,0.85022885
162,0.0012633839,0.8514922
163,0.0012588177,0.852751
164,0.0012469281,0.85399795
165,0.0012383279,0.8552363
166,0.0012306558,0.85646695
167,0.0012223899,0.8576893
168,0.001209304,0.85889864
169,0.0011944168,0.86009306
170,0.0011902272,0.8612833
171,0.0011772049,0.8624605
172,0.0011699612,0.8636305
173,0.0011528394,0.8647833
174,0.0011506049,0.8659339
175,0.0011351815,0.86706907
176,0.0011299031,0.868199
177,0.0011198139,0.8693188
178,0.0011048592,0.8704236
179,0.0011006542,0.8715243
180,0.0010901383,0.8726144
181,0.0010820875,0.87369645
182,0.0010668248,0.87476325
183,0.0010484605,0.8758117
184,0.0010480315,0.8768597
185,0.0010311017,0.8778908
186,0.0010264632,0.8789173
187,0.0010230371,0.87994033
188,0.0010130727,0.88095343
189,0.0009987841,0.8819522
190,0.0009956525,0.88294786
191,0.0009773953,0.88392526
192,0.0009758218,0.8849011
193,0.00096135895,0.88586247
194,0.00095783203,0.8868203
195,0.0009537245,0.88777405
196,0.0009456365,0.8887197
197,0.00093591213,0.8896556
198,0.00092814537,0.89058375
199,0.00092368486,0.89150745
200,0.0009132975,0.89242077
201,0.0009015457,0.8933223
202,0.0008905753,0.89421284
203,0.00088453596,0.8950974
204,0.0008740675,0.8959714
205,0.0008700598,0.89684147
206,0.0008613266,0.8977028
207,0.0008473931,0.8985502
208,0.00084607914,0.8993963
209,0.0008415668,0.90023786
210,0.0008308698,0.90106875
211,0.0008256102,0.90189433
212,0.00081821514,0.9027125
213,0.0008126604,0.9035252
214,0.0008107956,0.904336
215,0.00079683564,0.90513283
216,0.00079362903,0.90592647
217,0.0007856993,0.9067122
218,0.00077985355,0.90749204
219,0.00077792513,0.90826994
220,0.0007670566,0.909037
221,0.00076042215,0.90979743
222,0.00075726846,0.9105547
223,0.0007493657,0.91130406
224,0.00073997007,0.91204405
225,0.0007388534,0.9127829
226,0.00073437387,0.9135173
227,0.00073351373,0.9142508
